trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2016-12-11 00:00:00 +0000 +0000,1,47,19.3728222996515679
2016-08-02 00:00:00 +0000 +0000,2,72,32.2234042553191489
2022-12-16 00:00:00 +0000 +0000,1,80,30.9183955739972337
2020-03-20 00:00:00 +0000 +0000,2,36,15.2377622377622378
2019-07-30 00:00:00 +0000 +0000,1,53,23.5902777777777778
2018-08-18 00:00:00 +0000 +0000,1,27,15.9755244755244755
2017-01-01 00:00:00 +0000 +0000,4,24,12.7664233576642336
2016-05-05 00:00:00 +0000 +0000,1,78,38.8041958041958042
2023-06-26 00:00:00 +0000 +0000,1,36,13.8728246318607764
2018-12-22 00:00:00 +0000 +0000,1,51,22.4982456140350877
2022-08-12 00:00:00 +0000 +0000,1,65,27.8167354154390100
2020-01-14 00:00:00 +0000 +0000,6,65,30.9166666666666667
2018-03-22 00:00:00 +0000 +0000,1,69,33.9473684210526316
2018-05-07 00:00:00 +0000 +0000,1,62,30.9094076655052265
2016-07-30 00:00:00 +0000 +0000,2,60,30.3776223776223776
2021-05-12 00:00:00 +0000 +0000,1,15,4.7177700348432056
2016-08-10 00:00:00 +0000 +0000,1,62,31.9197324414715719
2019-06-18 00:00:00 +0000 +0000,1,63,28.9103942652329749
2018-05-31 00:00:00 +0000 +0000,1,60,23.4878048780487805
2020-02-14 00:00:00 +0000 +0000,6,72,33.4270833333333333
2020-05-24 00:00:00 +0000 +0000,1,8,2.6356877323420074
2023-09-27 00:00:00 +0000 +0000,1,72,34.5047619047619048
2023-10-09 00:00:00 +0000 +0000,1,78,31.5202156334231806
2021-04-25 00:00:00 +0000 +0000,1,15,5.1493055555555556
2023-07-17 00:00:00 +0000 +0000,1,71,30.6414602346805737
2019-01-28 00:00:00 +0000 +0000,1,65,24.7587412587412587
